,Name,Description,Link,Date
0,U.S. Justice Department Investigating Binance for Russia-Related Sanctions Violations: Bloomberg,CoinDesk has reached out to Binance and the Justice Department for comment. ,https://www.coindesk.com/policy/2023/05/06/us-justice-department-investigating-binance-for-russia-related-sanctions-violations-bloomberg/,"May 6, 2023"
1,"Voyager Digital Plans to Liquidate Assets, Wind Down After Sale Dreams Crushed",Voyager’s creditors will recover an estimated 36% of their assets – a far smaller slice of the pie than they would have received if the platform’s sale to FTX or Binance US went through. ,https://www.coindesk.com/policy/2023/05/05/voyager-digital-plans-to-liquidate-assets-wind-down-after-sale-dreams-crushed/,"May 6, 2023"
2,Aragon Fires Back at Activist Investors in Early Stages of DAO Governance Fight,"After attempting to thwart what it called a ""coordinated"" attack on its town square, Aragon reiterated its “code is law” position.",https://www.coindesk.com/business/2023/05/05/aragon-fires-back-at-activist-investors-in-early-stages-of-governance-fight/,"May 5, 2023"
3,"Pepecoin’s Bewildering Rise Turned a Pittance Into an Almost 5,000,000% Meme Coin Profit","A pseudonymous crypto trader bought trillions of the meme coin three weeks ago on UniSwap for $263, and still holds about $9 million of PEPE after selling several million dollars worth, according to data from blockchain platform Arkham.",https://www.coindesk.com/markets/2023/05/05/pepecoins-bewildering-rise-turned-a-pittance-into-an-almost-5000000-meme-coin-profit/,"May 5, 2023"
4,NFT Lending Platform Blend Sparks Concerns Over Ecosystem Liquidity,"Blend, the name of NFT marketplace Blur’s new lending platform, allows traders to lease NFTs to bolster liquidity.  However, concerns have been raised about its impact on broader NFT markets. ",https://www.coindesk.com/web3/2023/05/05/nft-lending-platform-blend-sparks-concerns-over-ecosystem-liquidity/,"May 5, 2023"
5,Coinbase Jumps 17% Post-Earnings; Analysts Praise Results but Worry About Regulatory Uncertainty,The crypto exchange’s first quarter revenue of $773 million was up 23% from the previous three months and blew past estimates for just $655 million.,https://www.coindesk.com/business/2023/05/05/coinbase-jumps-16-post-earnings-analysts-praise-results-but-worry-about-regulatory-uncertainty/,"May 5, 2023"
6,The Need for Clarity in Washington – Not Just on Crypto,"The recent ambiguous messaging from the Federal Open Market Committee's meeting, which left markets struggling to interpret signals from the FOMC statement and Chair Jerome Powell's comments, is typical of the abstruse signals that can be found in central bank policy-setting. But new tools, such as blockchain's cryptographic verification systems, could guide policymakers' decisions.",https://www.coindesk.com/consensus-magazine/2023/05/05/the-need-for-clarity-in-washington-not-just-on-crypto/,"May 5, 2023"
7,Pump the BRCs: The Promise and Peril of Bitcoin-backed Tokens,"A new way of issuing tokens on Bitcoin is growing fast. So why did their creator warn that they “will be worthless?""",https://www.coindesk.com/consensus-magazine/2023/05/05/pump-the-brcs-the-promise-and-peril-of-bitcoin-backed-tokens/,"May 5, 2023"
8,Alibaba Says ‘Open Sesame’ to Web3 ,"The Chinese tech giant is releasing a metaverse launchpad. Plus, Sports Illustrated announces an NFT ticketing platform.",https://www.coindesk.com/web3/2023/05/05/alibaba-says-open-sesame-to-web3/,"May 5, 2023"
9,The Next Big Web3 Trend Wasn't on Stage at Consensus,"If you want to know what's coming next in this industry, you need to listen to people still on the sidelines, says Leah Callon-Butler. ",https://www.coindesk.com/consensus-magazine/2023/05/05/the-next-big-web3-trend-wasnt-on-stage-at-consensus/,"May 5, 2023"
